placeId,title,地址,聯絡方式,評價,genres
60,KISS 自助式KMTV,"Section 2, Shuangshi Rd, 92號4樓",04 2234 8855,4.1,娛樂
61,熱愛生命Chica café,"No. 33號, Lane 225, Fengjia Rd",04 2702 6858,4.8,美食咖啡廳
62,Mirror cafe,"No. 3號, Lane 23, Mofan St",04 2305 5747,4.2,美食咖啡廳
63,青蛙放送局 FROG RADIO CAFE,"No. 1號, Diantai St",04 2220 0708,4.7,美食咖啡廳
64,H-FOODIE Sunny Day【輕食/營養果昔/機能飲品/蛋白質點心】,"Boguan Rd, 137號1F",04 2323 9137,4.7,美食咖啡廳
65,Solace Deli & Cafe,"No. 172號, Wuquan Rd",0979 269 172,4.7,美食咖啡廳
66,VVG Theater Café,"Section 2, Huilai Rd, 101號1F",04 2258 5182,4,美食咖啡廳
67,Create Cafe,"No. 349號, Section 2, Taiwan Blvd",04 2326 1258,4.7,美食咖啡廳
68,L'USiNE Café 早午餐咖啡廳,"No. 69號, Zhongcheng St",04 2321 8258,4.8,美食咖啡廳
69,Yu's Cafe,"No. 19號, Lane 14, Minquan Rd",04 2227 0123,4.8,美食咖啡廳
70,H coffee brunch,"Section 1, Meicun Rd, 99號1樓",N/A,4.4,美食咖啡廳
71,Among friends Cafe’,"No. 160號, Section 1, Xitun Rd",0972 268 864,4.9,美食咖啡廳
72,Power Cafe 博物館咖啡,"No. 1, Guanqian Rd",04 2322 6940#388,4.9,美食咖啡廳
73,Cafe Kenangan,"No. No 190, Luchuan W St",0978 121 600,4.3,美食咖啡廳
74,小葉茉莉 MOLY CAFE,"No. 6號, Lane 60, Section 1, Zhonghua Rd",0958 745 640,4.7,美食咖啡廳
75,Cafe Lulu,"No. 23號, Daye N Rd",04 2328 9288,4.3,美食咖啡廳
76,Under The Rose Cafe,"No. 98號, Section 4, Meichuan E Rd",04 2242 0028,4.9,美食咖啡廳
77,HOLA CAFE 台中大墩店,"Dadun Rd, 533號HOLA裡面1樓",04 2310 1065,4.8,美食咖啡廳
78,禾果咖啡 Fruit Cafe - 精品咖啡｜自家烘焙｜會議場地租借｜附設停車場,"No. 256號, Hanxiang Rd",04 2708 1155,4.7,美食咖啡廳
79,This Guy cafe 這傢伙手工料理,"No. 107號, Shanxi East 5th St",N/A,4.3,美食咖啡廳
80,82mm Cafe,"No. 66號, Section 3, Sanmin Rd",04 2229 8882,4.7,美食咖啡廳
